1,33,18,27,0.1765,3.0
2,33,18,28,0.183,3.1111
3,33,18,30,0.1961,3.3333
4,33,18,26,0.1699,2.8889
5,33,18,32,0.2092,3.5556
6,33,18,30,0.1961,3.3333
7,33,18,26,0.1699,2.8889
8,33,18,30,0.1961,3.3333
9,33,18,27,0.1765,3.0
10,33,18,31,0.2026,3.4444
11,32,28,67,0.1772,4.7857
12,32,28,71,0.1878,5.0714
13,32,28,67,0.1772,4.7857
14,32,28,69,0.1825,4.9286
15,32,28,69,0.1825,4.9286
16,32,28,71,0.1878,5.0714
17,32,28,65,0.172,4.6429
18,32,28,69,0.1825,4.9286
19,32,28,64,0.1693,4.5714
20,32,28,67,0.1772,4.7857
21,31,19,39,0.2281,4.1053
22,31,19,40,0.2339,4.2105
23,31,19,42,0.2456,4.4211
24,31,19,35,0.2047,3.6842
25,31,19,38,0.2222,4.0
26,31,19,42,0.2456,4.4211
27,31,19,42,0.2456,4.4211
28,31,19,42,0.2456,4.4211
29,31,19,42,0.2456,4.4211
30,31,19,38,0.2222,4.0
